id,name,N,I_DCName,J_DCName,N_ACName,Vdc,Idc,Wdc,Pac,Qac,Mode,state,off,Ang,Vdc_meas,Idc_meas,Wdc_meas,Pac_meas,Qac_meas,Ang_meas,Wdc_rate,Ang_max,Ang_min,Wdc_Rate,Kt,I_dcnd,J_dcnd,N_acnd,I_dcbs,J_dcbs,N_acbs
序号,直流控制器名,换流器桥数,首端直流节点所在拓扑节点,末端直流节点所在拓扑节点,交流侧所在拓扑节点,直流电压,直流电流,直流功率,交流有功功率,交流无功功率,换流器控制方式,换流器状态,闭锁状态,控制角,直流电压量测,直流电流量测,直流功率量测,交流有功量测,交流无功量测,控制角量测,换流器额定功率,控制角上限,控制角下限,换流器额定功率,换流变变比,首端直流物理节点号,末端直流物理节点号,交流侧物理节点号,首端直流计算节点号,末端直流计算节点号,交流侧计算节点号
1,国调.复龙换流站.直流极11,0,国调.复龙换流站.直流节点0,国调.复龙换流站.直流节点0,国调.复龙换流站.500.21,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50445,50446,50444,22,23,21
2,国调.复龙换流站.直流极21,0,国调.复龙换流站.直流节点0,国调.复龙换流站.直流节点0,国调.复龙换流站.500.24,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50448,50449,50447,25,26,24
3,国调.复龙换流站.直流极12,0,国调.复龙换流站.直流节点0,国调.复龙换流站.直流节点0,国调.复龙换流站.500.27,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50451,50452,50450,28,29,27
4,国调.复龙换流站.直流极22,0,国调.复龙换流站.直流节点0,国调.复龙换流站.直流节点0,国调.复龙换流站.500.30,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50454,50455,50453,31,32,30
5,国调.德阳换流站.直流极1,0,国调.德阳换流站.直流节点0,国调.德阳换流站.直流节点0,国调.德阳换流站.500.6450,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50457,50458,50456,6451,6452,6450
6,国调.德阳换流站.直流极2,0,国调.德阳换流站.直流节点0,国调.德阳换流站.直流节点0,国调.德阳换流站.500.6453,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50460,50461,50459,6454,6455,6453
7,国调.锦屏换流站.直流极11,0,国调.锦屏换流站.直流节点0,国调.锦屏换流站.直流节点0,国调.锦屏换流站.500.249,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50463,50464,50462,250,251,249
8,国调.锦屏换流站.直流极12,0,国调.锦屏换流站.直流节点0,国调.锦屏换流站.直流节点0,国调.锦屏换流站.500.252,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50466,50467,50465,253,254,252
9,国调.锦屏换流站.直流极21,0,国调.锦屏换流站.直流节点0,国调.锦屏换流站.直流节点0,国调.锦屏换流站.500.255,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50469,50470,50468,256,257,255
10,国调.锦屏换流站.直流极22,0,国调.锦屏换流站.直流节点0,国调.锦屏换流站.直流节点0,国调.锦屏换流站.500.258,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50472,50473,50471,259,260,258
11,国调.宜宾换流.直流极11,0,国调.宜宾换流.直流节点0,国调.宜宾换流.直流节点0,国调.宜宾换流.500.8930,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50475,50476,50474,8931,8932,8930
12,国调.宜宾换流.直流极12,0,国调.宜宾换流.直流节点0,国调.宜宾换流.直流节点0,国调.宜宾换流.500.8933,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50478,50479,50477,8934,8935,8933
13,国调.宜宾换流.直流极21,0,国调.宜宾换流.直流节点0,国调.宜宾换流.直流节点0,国调.宜宾换流.500.8936,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50481,50482,50480,8937,8938,8936
14,国调.宜宾换流.直流极22,0,国调.宜宾换流.直流节点0,国调.宜宾换流.直流节点0,国调.宜宾换流.500.8939,0.000,0.000,0.000,0.000,226.910,2,1,1,0.000,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,50484,50485,50483,8940,8941,8939
